prompt,pipeline
"{""source_type"": ""file"", ""source_location"": ""/opt/data/warehouse/aisle_5/sensor_2.mp4"", ""video_crop"": {""top"": 0, ""left"": 95, ""right"": 39, ""bottom"": 95}, ""detect"": {""model"": ""/usr/local/models/tensorflow/recognition/4.0/INT8/model_1931.xml"", ""device"": ""HDDL"", ""model_proc"": ""/usr/share/intel/model_proc/segmentation/model_2023.json""}, ""track"": {""tracking_type"": ""short-term-imageless""}, ""inference"": [{""model"": ""/usr/local/models/pytorch/detection/3.0/FP16/model_2598.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/home/user/.local/models/pytorch/detection/3.0/FP32/model_9393.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": true, ""drop"": true}",gst-launch-1.0 filesrc location=/opt/data/warehouse/aisle_5/sensor_2.mp4 ! decodebin ! videocrop top=0 left=95 right=39 bottom=95 ! queue ! gvadetect model=/usr/local/models/tensorflow/recognition/4.0/INT8/model_1931.xml device=HDDL model-proc=/usr/share/intel/model_proc/segmentation/model_2023.json ! queue ! gvatrack tracking-type=short-term-imageless ! queue ! gvainference model=/usr/local/models/pytorch/detection/3.0/FP16/model_2598.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/home/user/.local/models/pytorch/detection/3.0/FP32/model_9393.xml device=CPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=True sync=True
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.129:8044/4"", ""frame_rate"": ""2/1"", ""detect"": {""model"": ""/home/user/.local/models/intel/detection/2.1/FP32/model_3601.xml"", ""device"": ""HDDL"", ""inference_interval"": 1}, ""track"": {""tracking_type"": 1}, ""inference"": [], ""emit_signals"": true, ""sync"": true, ""drop"": true, ""max_buffers"": 816}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.129:8044/4 ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=2/1 ! gvadetect model=/home/user/.local/models/intel/detection/2.1/FP32/model_3601.xml device=HDDL inference-interval=1 ! queue ! gvatrack tracking-type=1 ! queue ! appsink name=appsink emit-signals=True drop=True sync=True max-buffers=816"
"{""source_type"": ""file"", ""source_location"": ""/opt/retail/surveillance_4/device_4.mp4"", ""video_crop"": {""top"": 126, ""left"": 3, ""right"": 28, ""bottom"": 147}, ""frame_rate"": ""30/1"", ""detect"": {""model"": ""/home/user/.local/models/intel/detection/3.0/FP16/model_8819.xml"", ""device"": ""CPU"", ""model_proc"": ""/usr/local/intel/model_proc/recognition/model_5803.json"", ""threshold"": 0.88, ""inference_interval"": 6}, ""track"": {""tracking_type"": ""zero-term""}, ""classify"": {""model"": ""/home/user/.local/models/intel/recognition/3.0/INT8/model_4155.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list"", ""model_proc"": ""/opt/intel/model_proc/detection/model_8211.json""}, ""emit_signals"": true, ""sync"": true, ""drop"": false}","gst-launch-1.0 filesrc location=/opt/retail/surveillance_4/device_4.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=30/1 ! videocrop top=126 left=3 right=28 bottom=147 ! queue ! gvadetect model=/home/user/.local/models/intel/detection/3.0/FP16/model_8819.xml device=CPU model-proc=/usr/local/intel/model_proc/recognition/model_5803.json threshold=0.88 inference-interval=6 ! queue ! gvatrack tracking-type=zero-term ! queue ! gvaclassify model=/home/user/.local/models/intel/recognition/3.0/INT8/model_4155.xml device=CPU inference-region=roi-list model-proc=/opt/intel/model_proc/detection/model_8211.json ! queue ! appsink name=appsink emit-signals=True drop=False sync=True"
"{""source_type"": ""file"", ""source_location"": ""/opt/shop_2/aisle/cam_4.mp4"", ""video_scale"": {""width"": 1405, ""height"": 496}, ""detect"": {""model"": ""/var/lib/models/intel/detection/4.0/FP16/model_5067.xml"", ""device"": ""CPU"", ""model_proc"": ""/home/user/.local/intel/model_proc/classification/model_5305.json"", ""threshold"": 0.72, ""inference_interval"": 9}, ""track"": {""tracking_type"": 2}, ""emit_signals"": true, ""sync"": true, ""drop"": false, ""max_buffers"": 789}","gst-launch-1.0 filesrc location=/opt/shop_2/aisle/cam_4.mp4 ! decodebin ! videoscale ! video/x-raw,width=1405,height=496 ! gvadetect model=/var/lib/models/intel/detection/4.0/FP16/model_5067.xml device=CPU model-proc=/home/user/.local/intel/model_proc/classification/model_5305.json threshold=0.72 inference-interval=9 ! queue ! gvatrack tracking-type=2 ! queue ! appsink name=appsink emit-signals=True drop=False sync=True max-buffers=789"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.151:8069/4"", ""video_crop"": {""top"": 0, ""left"": 100, ""right"": 70, ""bottom"": 483}, ""detect"": {""model"": ""/usr/share/models/intel/recognition/2.0/INT8/model_1414.xml"", ""device"": ""CPU""}, ""track"": {""tracking_type"": ""zero-term""}, ""classify"": {""model"": ""/opt/models/intel/recognition/1.0/FP32/model_4877.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list"", ""model_proc"": ""/home/user/.local/intel/model_proc/detection/model_2412.json""}, ""emit_signals"": false, ""sync"": false, ""drop"": false, ""max_buffers"": 651}",gst-launch-1.0 rtspsrc location=rtsp://192.168.1.151:8069/4 ! rtph264depay ! h264parse ! avdec_h264 ! videocrop top=0 left=100 right=70 bottom=483 ! queue ! gvadetect model=/usr/share/models/intel/recognition/2.0/INT8/model_1414.xml device=CPU ! queue ! gvatrack tracking-type=zero-term ! queue ! gvaclassify model=/opt/models/intel/recognition/1.0/FP32/model_4877.xml device=HDDL inference-region=roi-list model-proc=/home/user/.local/intel/model_proc/detection/model_2412.json ! queue ! appsink name=appsink emit-signals=False drop=False sync=False max-buffers=651
"{""source_type"": ""file"", ""source_location"": ""/opt/data/store/aisle_8/sensor_2.mp4"", ""video_scale"": {""width"": 1417, ""height"": 798}, ""detect"": {""model"": ""/usr/local/models/pytorch/recognition/2.1/INT8/model_2867.xml"", ""device"": ""HDDL"", ""model_proc"": ""/opt/intel/model_proc/detection/model_1178.json""}, ""track"": {""tracking_type"": ""zero-term""}, ""classify"": {""model"": ""/usr/local/models/tensorflow/recognition/2.0/FP16/model_3950.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, ""emit_signals"": false, ""sync"": true, ""drop"": false}","gst-launch-1.0 filesrc location=/opt/data/store/aisle_8/sensor_2.mp4 ! decodebin ! videoscale ! video/x-raw,width=1417,height=798 ! gvadetect model=/usr/local/models/pytorch/recognition/2.1/INT8/model_2867.xml device=HDDL model-proc=/opt/intel/model_proc/detection/model_1178.json ! queue ! gvatrack tracking-type=zero-term ! queue ! gvaclassify model=/usr/local/models/tensorflow/recognition/2.0/FP16/model_3950.xml device=CPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=False sync=True"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.247:8004/preview"", ""video_scale"": {""width"": 1600, ""height"": 818}, ""detect"": {""model"": ""/opt/models/pytorch/segmentation/1.0/FP32/model_7004.xml"", ""device"": ""GPU"", ""model_proc"": ""/usr/local/intel/model_proc/detection/model_2819.json"", ""inference_interval"": 8}, ""track"": {""tracking_type"": ""short-term-imageless""}, ""classify"": {""model"": ""/var/lib/models/openvino/classification/2.1/FP16/model_6535.xml"", ""device"": ""CPU"", ""inference_region"": ""full-frame"", ""model_proc"": ""/opt/intel/model_proc/recognition/model_8266.json""}, ""emit_signals"": false, ""sync"": false, ""drop"": false, ""max_buffers"": 998}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.247:8004/preview ! rtph264depay ! h264parse ! avdec_h264 ! videoscale ! video/x-raw,width=1600,height=818 ! gvadetect model=/opt/models/pytorch/segmentation/1.0/FP32/model_7004.xml device=GPU model-proc=/usr/local/intel/model_proc/detection/model_2819.json inference-interval=8 ! queue ! gvatrack tracking-type=short-term-imageless ! queue ! gvaclassify model=/var/lib/models/openvino/classification/2.1/FP16/model_6535.xml device=CPU inference-region=full-frame model-proc=/opt/intel/model_proc/recognition/model_8266.json ! queue ! appsink name=appsink emit-signals=False drop=False sync=False max-buffers=998"
"{""source_type"": ""file"", ""source_location"": ""/opt/retail_9/storage/device_8.mp4"", ""frame_rate"": ""5/1"", ""detect"": {""model"": ""/var/lib/models/pytorch/detection/1.0/INT8/model_3181.xml"", ""device"": ""GPU"", ""threshold"": 0.88}, ""track"": {""tracking_type"": 1}, ""inference"": [{""model"": ""/home/user/.local/models/intel/classification/1.0/FP32/model_4204.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/pytorch/classification/2.1/FP16/model_8098.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/pytorch/detection/5.0/INT8/model_8914.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/intel/classification/2.0/FP16/model_1647.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/onnx/segmentation/5.0/FP32/model_4489.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": false, ""drop"": false, ""max_buffers"": 132}","gst-launch-1.0 filesrc location=/opt/retail_9/storage/device_8.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=5/1 ! gvadetect model=/var/lib/models/pytorch/detection/1.0/INT8/model_3181.xml device=GPU threshold=0.88 ! queue ! gvatrack tracking-type=1 ! queue ! gvainference model=/home/user/.local/models/intel/classification/1.0/FP32/model_4204.xml device=HDDL inference-region=roi-list ! queue ! gvainference model=/usr/share/models/pytorch/classification/2.1/FP16/model_8098.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/opt/models/pytorch/detection/5.0/INT8/model_8914.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/opt/models/intel/classification/2.0/FP16/model_1647.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/opt/models/onnx/segmentation/5.0/FP32/model_4489.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=False sync=False max-buffers=132"
"{""source_type"": ""file"", ""source_location"": ""/opt/data/retail/surveillance_7/camera_7.mp4"", ""video_scale"": {""width"": 957, ""height"": 822}, ""frame_rate"": ""25/10"", ""detect"": {""model"": ""/usr/local/models/onnx/segmentation/1.0/INT8/model_6540.xml"", ""device"": ""GPU"", ""threshold"": 0.88, ""inference_interval"": 3}, ""track"": {""tracking_type"": ""zero-term-imageless""}, ""emit_signals"": true, ""sync"": false, ""drop"": false}","gst-launch-1.0 filesrc location=/opt/data/retail/surveillance_7/camera_7.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=25/10 ! videoscale ! video/x-raw,width=957,height=822 ! gvadetect model=/usr/local/models/onnx/segmentation/1.0/INT8/model_6540.xml device=GPU threshold=0.88 inference-interval=3 ! queue ! gvatrack tracking-type=zero-term-imageless ! queue ! appsink name=appsink emit-signals=True drop=False sync=False"
"{""source_type"": ""file"", ""source_location"": ""/opt/store/shelf_10/device_9.mp4"", ""frame_rate"": ""30/10"", ""detect"": {""model"": ""/usr/share/models/tensorflow/segmentation/2.0/FP16/model_7792.xml"", ""device"": ""GPU"", ""model_proc"": ""/opt/intel/model_proc/recognition/model_2246.json""}, ""track"": {""tracking_type"": 0}, ""classify"": {""model"": ""/usr/local/models/openvino/detection/5.0/FP32/model_2009.xml"", ""device"": ""CPU"", ""inference_region"": ""full-frame""}, ""emit_signals"": true, ""sync"": false, ""drop"": true, ""max_buffers"": 598}","gst-launch-1.0 filesrc location=/opt/store/shelf_10/device_9.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=30/10 ! gvadetect model=/usr/share/models/tensorflow/segmentation/2.0/FP16/model_7792.xml device=GPU model-proc=/opt/intel/model_proc/recognition/model_2246.json ! queue ! gvatrack tracking-type=0 ! queue ! gvaclassify model=/usr/local/models/openvino/detection/5.0/FP32/model_2009.xml device=CPU inference-region=full-frame ! queue ! appsink name=appsink emit-signals=True drop=True sync=False max-buffers=598"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.183:8026/backup_low"", ""video_scale"": {""width"": 1845, ""height"": 594}, ""caps_filter"": ""GBR"", ""detect"": {""model"": ""/home/user/.local/models/openvino/classification/3.0/FP32/model_5483.xml"", ""device"": ""CPU"", ""model_proc"": ""/usr/local/intel/model_proc/detection/model_6114.json""}, ""track"": {""tracking_type"": 0}, ""classify"": {""model"": ""/usr/share/models/pytorch/recognition/4.0/FP32/model_2982.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list"", ""model_proc"": ""/usr/share/intel/model_proc/classification/model_7832.json""}, ""inference"": [{""model"": ""/home/user/.local/models/openvino/segmentation/4.0/FP16/model_3710.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/local/models/pytorch/classification/2.0/FP32/model_7519.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": true, ""drop"": true}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.183:8026/backup_low ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! capsfilter caps=video/x-raw,format=GBR ! videoscale ! video/x-raw,width=1845,height=594 ! gvadetect model=/home/user/.local/models/openvino/classification/3.0/FP32/model_5483.xml device=CPU model-proc=/usr/local/intel/model_proc/detection/model_6114.json ! queue ! gvatrack tracking-type=0 ! queue ! gvaclassify model=/usr/share/models/pytorch/recognition/4.0/FP32/model_2982.xml device=HDDL inference-region=roi-list model-proc=/usr/share/intel/model_proc/classification/model_7832.json ! queue ! gvainference model=/home/user/.local/models/openvino/segmentation/4.0/FP16/model_3710.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/usr/local/models/pytorch/classification/2.0/FP32/model_7519.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=True sync=True"
"{""source_type"": ""file"", ""source_location"": ""/opt/data/retail_6/entrance_10.mp4"", ""video_crop"": {""top"": 50, ""left"": 15, ""right"": 24, ""bottom"": 166}, ""caps_filter"": ""I420_12LE"", ""frame_rate"": ""25/10"", ""detect"": {""model"": ""/home/user/.local/models/pytorch/detection/5.0/INT8/model_6886.xml"", ""device"": ""CPU"", ""model_proc"": ""/home/user/.local/intel/model_proc/recognition/model_4191.json"", ""threshold"": 0.7, ""inference_interval"": 8}, ""track"": {""tracking_type"": 0}, ""inference"": [{""model"": ""/home/user/.local/models/pytorch/segmentation/2.0/INT8/model_9361.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/home/user/.local/models/tensorflow/recognition/1.0/FP16/model_6105.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/var/lib/models/pytorch/segmentation/1.0/FP32/model_4750.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": true, ""drop"": false}","gst-launch-1.0 filesrc location=/opt/data/retail_6/entrance_10.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=25/10 ! videoconvert ! capsfilter caps=video/x-raw,format=I420_12LE ! videocrop top=50 left=15 right=24 bottom=166 ! queue ! gvadetect model=/home/user/.local/models/pytorch/detection/5.0/INT8/model_6886.xml device=CPU model-proc=/home/user/.local/intel/model_proc/recognition/model_4191.json threshold=0.7 inference-interval=8 ! queue ! gvatrack tracking-type=0 ! queue ! gvainference model=/home/user/.local/models/pytorch/segmentation/2.0/INT8/model_9361.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/home/user/.local/models/tensorflow/recognition/1.0/FP16/model_6105.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/var/lib/models/pytorch/segmentation/1.0/FP32/model_4750.xml device=CPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=False sync=True"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.183:8006/main"", ""caps_filter"": ""MT2110T"", ""frame_rate"": ""50/2"", ""detect"": {""model"": ""/var/lib/models/tensorflow/classification/4.0/INT8/model_7626.xml"", ""device"": ""HDDL"", ""model_proc"": ""/opt/intel/model_proc/recognition/model_2385.json"", ""threshold"": 0.8, ""inference_interval"": 6}, ""track"": {""tracking_type"": ""zero-term""}, ""emit_signals"": false, ""sync"": true, ""drop"": true}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.183:8006/main ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=50/2 ! videoconvert ! capsfilter caps=video/x-raw,format=MT2110T ! gvadetect model=/var/lib/models/tensorflow/classification/4.0/INT8/model_7626.xml device=HDDL model-proc=/opt/intel/model_proc/recognition/model_2385.json threshold=0.8 inference-interval=6 ! queue ! gvatrack tracking-type=zero-term ! queue ! appsink name=appsink emit-signals=False drop=True sync=True"
"{""source_type"": ""file"", ""source_location"": ""/opt/warehouse_6/shelf/device_1.mp4"", ""video_crop"": {""top"": 465, ""left"": 72, ""right"": 97, ""bottom"": 116}, ""caps_filter"": ""A422_16BE"", ""frame_rate"": ""120/4"", ""detect"": {""model"": ""/home/user/.local/models/pytorch/recognition/1.0/FP16/model_3001.xml"", ""device"": ""GPU"", ""inference_interval"": 5}, ""track"": {""tracking_type"": ""zero-term-imageless""}, ""classify"": {""model"": ""/usr/local/models/intel/recognition/1.0/FP32/model_1616.xml"", ""device"": ""HDDL"", ""inference_region"": ""full-frame""}, ""emit_signals"": true, ""sync"": true, ""drop"": false, ""max_buffers"": 412}","gst-launch-1.0 filesrc location=/opt/warehouse_6/shelf/device_1.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=120/4 ! videoconvert ! capsfilter caps=video/x-raw,format=A422_16BE ! videocrop top=465 left=72 right=97 bottom=116 ! queue ! gvadetect model=/home/user/.local/models/pytorch/recognition/1.0/FP16/model_3001.xml device=GPU inference-interval=5 ! queue ! gvatrack tracking-type=zero-term-imageless ! queue ! gvaclassify model=/usr/local/models/intel/recognition/1.0/FP32/model_1616.xml device=HDDL inference-region=full-frame ! queue ! appsink name=appsink emit-signals=True drop=False sync=True max-buffers=412"
"{""source_type"": ""file"", ""source_location"": ""/opt/warehouse/shelf_5/device_3.mp4"", ""video_crop"": {""top"": 237, ""left"": 31, ""right"": 63, ""bottom"": 78}, ""video_scale"": {""width"": 680, ""height"": 541}, ""caps_filter"": ""Y444_16BE"", ""detect"": {""model"": ""/var/lib/models/onnx/recognition/2.1/INT8/model_3485.xml"", ""device"": ""CPU"", ""inference_interval"": 2}, ""track"": {""tracking_type"": 2}, ""classify"": {""model"": ""/home/user/.local/models/tensorflow/segmentation/2.1/FP16/model_3536.xml"", ""device"": ""CPU"", ""inference_region"": ""full-frame"", ""model_proc"": ""/home/user/.local/intel/model_proc/detection/model_7734.json""}, ""inference"": [{""model"": ""/home/user/.local/models/tensorflow/detection/5.0/INT8/model_3494.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/var/lib/models/tensorflow/classification/4.0/FP16/model_7212.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/home/user/.local/models/intel/segmentation/5.0/FP32/model_4994.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": true, ""drop"": false, ""max_buffers"": 38}","gst-launch-1.0 filesrc location=/opt/warehouse/shelf_5/device_3.mp4 ! decodebin ! videoconvert ! capsfilter caps=video/x-raw,format=Y444_16BE ! videocrop top=237 left=31 right=63 bottom=78 ! queue ! videoscale ! video/x-raw,width=680,height=541 ! gvadetect model=/var/lib/models/onnx/recognition/2.1/INT8/model_3485.xml device=CPU inference-interval=2 ! queue ! gvatrack tracking-type=2 ! queue ! gvaclassify model=/home/user/.local/models/tensorflow/segmentation/2.1/FP16/model_3536.xml device=CPU inference-region=full-frame model-proc=/home/user/.local/intel/model_proc/detection/model_7734.json ! queue ! gvainference model=/home/user/.local/models/tensorflow/detection/5.0/INT8/model_3494.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/var/lib/models/tensorflow/classification/4.0/FP16/model_7212.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/home/user/.local/models/intel/segmentation/5.0/FP32/model_4994.xml device=GPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=False sync=True max-buffers=38"
"{""source_type"": ""file"", ""source_location"": ""/opt/data/shop/entrance_9/cam_8.mp4"", ""video_scale"": {""width"": 861, ""height"": 824}, ""caps_filter"": ""I420_10BE"", ""frame_rate"": ""120/4"", ""detect"": {""model"": ""/usr/share/models/pytorch/recognition/3.0/FP16/model_9036.xml"", ""device"": ""CPU"", ""model_proc"": ""/var/lib/intel/model_proc/classification/model_1767.json"", ""inference_interval"": 4}, ""track"": {""tracking_type"": 1}, ""inference"": [{""model"": ""/opt/models/onnx/detection/3.0/INT8/model_9722.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": false, ""drop"": false}","gst-launch-1.0 filesrc location=/opt/data/shop/entrance_9/cam_8.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=120/4 ! videoconvert ! capsfilter caps=video/x-raw,format=I420_10BE ! videoscale ! video/x-raw,width=861,height=824 ! gvadetect model=/usr/share/models/pytorch/recognition/3.0/FP16/model_9036.xml device=CPU model-proc=/var/lib/intel/model_proc/classification/model_1767.json inference-interval=4 ! queue ! gvatrack tracking-type=1 ! queue ! gvainference model=/opt/models/onnx/detection/3.0/INT8/model_9722.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=False sync=False"
"{""source_type"": ""file"", ""source_location"": ""/opt/store_1/storage/cam_1.mp4"", ""frame_rate"": ""25/10"", ""detect"": {""model"": ""/opt/models/intel/classification/1.0/INT8/model_5621.xml"", ""device"": ""CPU"", ""model_proc"": ""/home/user/.local/intel/model_proc/classification/model_4036.json"", ""inference_interval"": 5}, ""track"": {""tracking_type"": 0}, ""classify"": {""model"": ""/usr/share/models/tensorflow/recognition/3.0/FP32/model_9051.xml"", ""device"": ""GPU"", ""inference_region"": ""full-frame""}, ""emit_signals"": false, ""sync"": true, ""drop"": true}","gst-launch-1.0 filesrc location=/opt/store_1/storage/cam_1.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=25/10 ! gvadetect model=/opt/models/intel/classification/1.0/INT8/model_5621.xml device=CPU model-proc=/home/user/.local/intel/model_proc/classification/model_4036.json inference-interval=5 ! queue ! gvatrack tracking-type=0 ! queue ! gvaclassify model=/usr/share/models/tensorflow/recognition/3.0/FP32/model_9051.xml device=GPU inference-region=full-frame ! queue ! appsink name=appsink emit-signals=False drop=True sync=True"
"{""source_type"": ""file"", ""source_location"": ""/opt/data/retail_1/storage_4.mp4"", ""detect"": {""model"": ""/usr/local/models/tensorflow/classification/5.0/INT8/model_5416.xml"", ""device"": ""GPU"", ""threshold"": 0.9}, ""track"": {""tracking_type"": ""short-term-imageless""}, ""classify"": {""model"": ""/home/user/.local/models/tensorflow/classification/4.0/INT8/model_9552.xml"", ""device"": ""HDDL"", ""inference_region"": ""full-frame""}, ""inference"": [{""model"": ""/home/user/.local/models/tensorflow/classification/4.0/INT8/model_6438.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/pytorch/detection/2.1/FP32/model_2131.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/home/user/.local/models/intel/recognition/5.0/INT8/model_4422.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/local/models/onnx/segmentation/3.0/FP16/model_2185.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": true, ""drop"": false, ""max_buffers"": 90}",gst-launch-1.0 filesrc location=/opt/data/retail_1/storage_4.mp4 ! decodebin ! gvadetect model=/usr/local/models/tensorflow/classification/5.0/INT8/model_5416.xml device=GPU threshold=0.9 ! queue ! gvatrack tracking-type=short-term-imageless ! queue ! gvaclassify model=/home/user/.local/models/tensorflow/classification/4.0/INT8/model_9552.xml device=HDDL inference-region=full-frame ! queue ! gvainference model=/home/user/.local/models/tensorflow/classification/4.0/INT8/model_6438.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/usr/share/models/pytorch/detection/2.1/FP32/model_2131.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/home/user/.local/models/intel/recognition/5.0/INT8/model_4422.xml device=HDDL inference-region=roi-list ! queue ! gvainference model=/usr/local/models/onnx/segmentation/3.0/FP16/model_2185.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=False sync=True max-buffers=90
"{""source_type"": ""file"", ""source_location"": ""/opt/data/mall_10/shelf_6.mp4"", ""video_crop"": {""top"": 173, ""left"": 2, ""right"": 26, ""bottom"": 184}, ""video_scale"": {""width"": 1161, ""height"": 417}, ""caps_filter"": ""NV61"", ""frame_rate"": ""60/3"", ""detect"": {""model"": ""/var/lib/models/tensorflow/recognition/3.0/INT8/model_4264.xml"", ""device"": ""CPU"", ""inference_interval"": 3}, ""track"": {""tracking_type"": ""short-term-imageless""}, ""classify"": {""model"": ""/home/user/.local/models/onnx/detection/4.0/FP16/model_2763.xml"", ""device"": ""GPU"", ""inference_region"": ""full-frame""}, ""emit_signals"": true, ""sync"": false, ""drop"": true, ""max_buffers"": 681}","gst-launch-1.0 filesrc location=/opt/data/mall_10/shelf_6.mp4 ! decodebin ! videoconvert ! videorate ! video/x-raw,framerate=60/3 ! videoconvert ! capsfilter caps=video/x-raw,format=NV61 ! videocrop top=173 left=2 right=26 bottom=184 ! queue ! videoscale ! video/x-raw,width=1161,height=417 ! gvadetect model=/var/lib/models/tensorflow/recognition/3.0/INT8/model_4264.xml device=CPU inference-interval=3 ! queue ! gvatrack tracking-type=short-term-imageless ! queue ! gvaclassify model=/home/user/.local/models/onnx/detection/4.0/FP16/model_2763.xml device=GPU inference-region=full-frame ! queue ! appsink name=appsink emit-signals=True drop=True sync=False max-buffers=681"
"{""source_type"": ""file"", ""source_location"": ""/opt/data/retail/checkout_10/cam_3.mp4"", ""caps_filter"": ""NV12_8L128"", ""detect"": {""model"": ""/usr/share/models/pytorch/recognition/1.0/FP16/model_6902.xml"", ""device"": ""HDDL"", ""threshold"": 0.84}, ""track"": {""tracking_type"": ""zero-term""}, ""classify"": {""model"": ""/home/user/.local/models/intel/segmentation/2.0/FP16/model_5633.xml"", ""device"": ""GPU"", ""inference_region"": ""full-frame"", ""model_proc"": ""/var/lib/intel/model_proc/classification/model_6301.json""}, ""emit_signals"": true, ""sync"": true, ""drop"": true}","gst-launch-1.0 filesrc location=/opt/data/retail/checkout_10/cam_3.mp4 ! decodebin ! videoconvert ! capsfilter caps=video/x-raw,format=NV12_8L128 ! gvadetect model=/usr/share/models/pytorch/recognition/1.0/FP16/model_6902.xml device=HDDL threshold=0.84 ! queue ! gvatrack tracking-type=zero-term ! queue ! gvaclassify model=/home/user/.local/models/intel/segmentation/2.0/FP16/model_5633.xml device=GPU inference-region=full-frame model-proc=/var/lib/intel/model_proc/classification/model_6301.json ! queue ! appsink name=appsink emit-signals=True drop=True sync=True"
